"country","iso3c","year","gdp_pc_ppp"
"Africa Eastern and Southern","AFE","2024","4635.7882240455"
"Africa Eastern and Southern","AFE","2023","4501.6011005616"
"Africa Eastern and Southern","AFE","2022","4369.19105632365"
"Africa Eastern and Southern","AFE","2021","4028.37650387745"
"Africa Eastern and Southern","AFE","2020","3708.09464929946"
"Africa Eastern and Southern","AFE","2019","3801.41318342956"
"Africa Eastern and Southern","AFE","2018","3723.21642264024"
"Africa Eastern and Southern","AFE","2017","3837.7263749346"
"Africa Eastern and Southern","AFE","2016","3634.44167346493"
"Africa Eastern and Southern","AFE","2015","3539.81550607078"
"Africa Western and Central","AFW","2024","6815.99096115117"
"Africa Western and Central","AFW","2023","6520.28031254058"
"Africa Western and Central","AFW","2022","6220.12287462026"
"Africa Western and Central","AFW","2021","5690.96774324307"
"Africa Western and Central","AFW","2020","5414.04254032674"
"Africa Western and Central","AFW","2019","5484.24941762408"
"Africa Western and Central","AFW","2018","5179.3599900769"
"Africa Western and Central","AFW","2017","5026.648499102"
"Africa Western and Central","AFW","2016","4965.33022911623"
"Africa Western and Central","AFW","2015","5056.73943872822"
"Arab World","ARB","2024","18870.3148110507"
"Arab World","ARB","2023","18488.7415611006"
"Arab World","ARB","2022","17956.1315624334"
"Arab World","ARB","2021","16026.6357038322"
"Arab World","ARB","2020","14309.3928069443"
"Arab World","ARB","2019","15746.0048842039"
"Arab World","ARB","2018","15558.1307966245"
"Arab World","ARB","2017","14473.336384684"
"Arab World","ARB","2016","13860.6633153292"
"Arab World","ARB","2015","14332.866212073"
"Caribbean small states","CSS","2024","38624.0605441698"
"Caribbean small states","CSS","2023","32868.2089967349"
"Caribbean small states","CSS","2022","28974.9965495457"
"Caribbean small states","CSS","2021","23493.3054375431"
"Caribbean small states","CSS","2020","20161.685964893"
"Caribbean small states","CSS","2019","22157.0018835044"
"Caribbean small states","CSS","2018","21259.2795158966"
"Caribbean small states","CSS","2017","20762.5365878571"
"Caribbean small states","CSS","2016","19975.9021318883"
"Caribbean small states","CSS","2015","20632.3376851645"
"Central Europe and the Baltics","CEB","2024","50487.3304819118"
"Central Europe and the Baltics","CEB","2023","47989.0336580339"
