"country","iso3c","year","population"
"Africa Eastern and Southern","AFE","2024","769280888"
"Africa Eastern and Southern","AFE","2023","750491370"
"Africa Eastern and Southern","AFE","2022","731821393"
"Africa Eastern and Southern","AFE","2021","713090928"
"Africa Eastern and Southern","AFE","2020","694446100"
"Africa Eastern and Southern","AFE","2019","675950189"
"Africa Eastern and Southern","AFE","2018","657801085"
"Africa Eastern and Southern","AFE","2017","640058741"
"Africa Eastern and Southern","AFE","2016","623369401"
"Africa Eastern and Southern","AFE","2015","607123269"
"Africa Western and Central","AFW","2024","521764076"
"Africa Western and Central","AFW","2023","509398589"
"Africa Western and Central","AFW","2022","497387180"
"Africa Western and Central","AFW","2021","485920997"
"Africa Western and Central","AFW","2020","474569351"
"Africa Western and Central","AFW","2019","463365429"
"Africa Western and Central","AFW","2018","452195915"
"Africa Western and Central","AFW","2017","440882906"
"Africa Western and Central","AFW","2016","429454743"
"Africa Western and Central","AFW","2015","418127845"
"Arab World","ARB","2024","492612632"
"Arab World","ARB","2023","482105978"
"Arab World","ARB","2022","471352066"
"Arab World","ARB","2021","460646603"
"Arab World","ARB","2020","453723239"
"Arab World","ARB","2019","444281315"
"Arab World","ARB","2018","435998060"
"Arab World","ARB","2017","428315886"
"Arab World","ARB","2016","419808341"
"Arab World","ARB","2015","410190679"
"Caribbean small states","CSS","2024","4539060"
"Caribbean small states","CSS","2023","4519904"
"Caribbean small states","CSS","2022","4497310"
"Caribbean small states","CSS","2021","4479167"
"Caribbean small states","CSS","2020","4459302"
"Caribbean small states","CSS","2019","4443134"
"Caribbean small states","CSS","2018","4407658"
"Caribbean small states","CSS","2017","4366140"
"Caribbean small states","CSS","2016","4341333"
"Caribbean small states","CSS","2015","4314191"
"Central Europe and the Baltics","CEB","2024","100061963"
"Central Europe and the Baltics","CEB","2023","100183707"
"Central Europe and the Baltics","CEB","2022","100071871"
"Central Europe and the Baltics","CEB","2021","100205732"
"Central Europe and the Baltics","CEB","2020","101215763"
"Central Europe and the Baltics","CEB","2019","101864274"
"Central Europe and the Baltics","CEB","2018","102074201"
"Central Europe and the Baltics","CEB","2017","102337501"
"Central Europe and the Baltics","CEB","2016","102647939"
"Central Europe and the Baltics","CEB","2015","102973167"
"Early-demographic dividend","EAR","2024","3552278604"
"Early-demographic dividend","EAR","2023","3511607650"
"Early-demographic dividend","EAR","2022","3470644834"
"Early-demographic dividend","EAR","2021","3432026092"
"Early-demographic dividend","EAR","2020","3396051187"
"Early-demographic dividend","EAR","2019","3355014793"
"Early-demographic dividend","EAR","2018","3314245247"
"Early-demographic dividend","EAR","2017","3274060446"
"Early-demographic dividend","EAR","2016","3233033717"
"Early-demographic dividend","EAR","2015","3190318707"
"East Asia & Pacific","EAS","2024","2388319494"
"East Asia & Pacific","EAS","2023","2384441485"
"East Asia & Pacific","EAS","2022","2379617118"
"East Asia & Pacific","EAS","2021","2375117716"
"East Asia & Pacific","EAS","2020","2369420882"
"East Asia & Pacific","EAS","2019","2359762190"
"East Asia & Pacific","EAS","2018","2347576325"
"East Asia & Pacific","EAS","2017","2333475520"
"East Asia & Pacific","EAS","2016","2317076058"
"East Asia & Pacific","EAS","2015","2300844269"
"East Asia & Pacific (excluding high income)","EAP","2024","2141122258"
"East Asia & Pacific (excluding high income)","EAP","2023","2137527754"
"East Asia & Pacific (excluding high income)","EAP","2022","2133560408"
"East Asia & Pacific (excluding high income)","EAP","2021","2128553744"
"East Asia & Pacific (excluding high income)","EAP","2020","2121866294"
"East Asia & Pacific (excluding high income)","EAP","2019","2112289891"
"East Asia & Pacific (excluding high income)","EAP","2018","2100698838"
"East Asia & Pacific (excluding high income)","EAP","2017","2087238522"
"East Asia & Pacific (excluding high income)","EAP","2016","2071486140"
"East Asia & Pacific (excluding high income)","EAP","2015","2056050896"
"East Asia & Pacific (IDA & IBRD countries)","TEA","2024","2114653077"
"East Asia & Pacific (IDA & IBRD countries)","TEA","2023","2111139152"
"East Asia & Pacific (IDA & IBRD countries)","TEA","2022","2107261123"
"East Asia & Pacific (IDA & IBRD countries)","TEA","2021","2102350702"
"East Asia & Pacific (IDA & IBRD countries)","TEA","2020","2095759417"
"East Asia & Pacific (IDA & IBRD countries)","TEA","2019","2086281644"
"East Asia & Pacific (IDA & IBRD countries)","TEA","2018","2074796982"
"East Asia & Pacific (IDA & IBRD countries)","TEA","2017","2061449949"
"East Asia & Pacific (IDA & IBRD countries)","TEA","2016","2045816761"
"East Asia & Pacific (IDA & IBRD countries)","TEA","2015","2030504270"
"Euro area","EMU","2024","351161936"
"Euro area","EMU","2023","349762722"
"Euro area","EMU","2022","348200155"
"Euro area","EMU","2021","347207191"
"Euro area","EMU","2020","346986142"
"Euro area","EMU","2019","346496601"
"Euro area","EMU","2018","345864630"
"Euro area","EMU","2017","344810179"
"Euro area","EMU","2016","344132977"
"Euro area","EMU","2015","343180482"
"Europe & Central Asia","ECS","2024","928263208"
"Europe & Central Asia","ECS","2023","924773523"
"Europe & Central Asia","ECS","2022","924234471"
"Europe & Central Asia","ECS","2021","924381062"
"Europe & Central Asia","ECS","2020","923664467"
"Europe & Central Asia","ECS","2019","921932163"
"Europe & Central Asia","ECS","2018","918689254"
"Europe & Central Asia","ECS","2017","915065824"
"Europe & Central Asia","ECS","2016","911579016"
"Europe & Central Asia","ECS","2015","907527486"
"Europe & Central Asia (excluding high income)","ECA","2024","250281521"
"Europe & Central Asia (excluding high income)","ECA","2023","248721385"
"Europe & Central Asia (excluding high income)","ECA","2022","250514347"
"Europe & Central Asia (excluding high income)","ECA","2021","251867727"
"Europe & Central Asia (excluding high income)","ECA","2020","250351240"
"Europe & Central Asia (excluding high income)","ECA","2019","248576676"
"Europe & Central Asia (excluding high income)","ECA","2018","246400484"
