,观测数,均值,标准差,最小值,25%分位,中位数,75%分位,最大值
EV乘用车销售占比(%),499.0,8.467516693386774,14.693596354948518,0.00023,0.435,2.4,9.2,92.0
EV乘用车保有占比(%),375.0,1.8162199466666669,3.9585691431173933,0.00017,0.0565,0.36,1.6,32.0
人均GDP PPP(美元),501.0,43913.03633624606,23438.43932177663,5425.03599091046,27474.7361378236,42243.5084459397,55761.3798291375,155941.288210791
人口(人),501.0,99841914.08982036,273212674.5851899,93419.0,5508214.0,17533044.0,66984000.0,1450935791.0
Brent油价(美元/桶),501.0,66.70667498336661,17.852366836973605,41.759166666666665,52.35333333333333,70.6775,80.52666666666666,100.77749999999999
充电桩总数(个),317.0,54464.39400630914,279796.7490744109,11.0,1176.0,5140.0,24200.0,3500000.0
充电桩密度(个/百万人),317.0,771.9028368531103,1456.3462651975199,0.13875230546415912,33.754348941003336,197.82490537212138,796.1866303092118,10448.226121843545
"充电桩密度(线性插值后,个/百万人)",346.0,712.8134350020766,1407.8962434916114,0.13875230546415912,23.912934725510283,166.92729846809328,719.6153688582501,10448.226121843545
"ln(充电桩密度,插值后)",346.0,4.727735222751754,2.4601132918371396,-1.9750649105357332,3.173776977386256,5.116888282322833,6.57871050450472,9.254187493878065
充电桩年增长率,300.0,0.6986236082795922,1.226828810492575,-0.8688524590163934,0.17747779932632435,0.38544073951799274,0.6995188370188371,11.808988764044944
